name,listing,year,capital,Sales,Staff,investments_count,investment_amount
업스테이지,비상장,2020-10-05,1.5억원,59억원,135명,3,"1,416억원"
플렉스,비상장,2019-05-14,2.8억원,80.1억원,182명,2,480억원
비바리퍼블리카,비상장,2013-04-23,350.6억원,1.1조원,942명,11,1.4조원
두들린,비상장,2020-03-12,-,-,60명,3,157.5억원
보이저엑스,비상장,2017-03-08,2.4억원,3.3억원,68명,1,300억원
아우름플래닛,비상장,2012-09-27,"9,778.5만원",3.5억원,34명,5,167.5억원 이상
콕스웨이브,비상장,2021-05-25,"9,000만원",1.9억원,13명,2,55억원
모요,비상장,2021-09-15,"5,833.3만원",8.9억원,34명,2,40억원
레몬베이스,비상장,2020-10-21,3.9억원,8.7억원,69명,2,132억원
아임웹,비상장,2013-02-21,5.5억원,168.7억원,109명,1,100억원
로지브라더스,비상장,2016-09-02,-,-,18명,4,10억원 이상
가제트코리아,비상장,2020-11-09,"5,658.5만원",4.9억원,34명,3,"5,250만원 이상"
스켈터랩스,비상장,2015-11-27,178.2억원,6.7억원,50명,5,331억원
드림에이스,비상장,2015-11-24,9억원,17.1억원,66명,5,385억원 이상
니어스랩,비상장,2015-05-15,137.7억원,18.8억원,85명,6,303억원 이상
데이터라이즈,비상장,2019-08-07,4.4억원,6억원,44명,2,126억원
카카오뱅크,KOSPI,2016-01-22,2.3조원,1.6조원,"1,553명",3,3.5조원
스팬딧,비상장,2015-12-17,3.7억원,10억원,23명,3,50억원 이상
스캐터랩,비상장,2011-08-08,1.3억원,5.7억원,50명,5,373억원
더브이씨,비상장,2016-06-15,"3,735.9만원",1.8억원,13명,2,"2,000만원 이상"
마음에이아이,KOSDAQ,2014-01-08,30.4억원,82.4억원,124명,5,464.3억원
프렌들리에이아이,비상장,2021-01-12,5.6억원,1.1억원,21명,1,80억원
슈퍼러닝,비상장,2022-10-04,-,-,6명,-,-
메가존클라우드,비상장,2018-07-03,-,-,"1,697명",6,"9,180억원"
에이슬립,비상장,2020-06-19,"1,642.3만원",-,43명,3,180억원 이상
센드버드코리아,비상장,2012-11-01,1.5억원,257.5억원,135명,9,"2,507.8억원 이상"
